ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"173.236.188.26","elite","AS26347","US","New Dream Network, LLC","78","New Dream Network, LLC","54262","socks5","1231","1","2023-04-07T22:07:12.230Z","100","1327","1328"
"38.127.179.230","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks4","1523","1","2023-04-07T22:07:12.689Z","100","1349","1350"
"192.241.177.96","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","10599","socks5","1242","1","2023-04-07T22:07:11.757Z","100","1404","1406"
"12.187.55.1","elite","AS7018","US","AT&T Services, Inc.","183","Acc-crystal Broadband Network","39593","socks4","1262","1","2023-04-07T22:07:11.333Z","97","1372","1417"
"172.98.167.110","elite","AS1239","US","BraveWay LLC","85","Wifiber IKE","40041","socks5","1274","1","2023-04-07T22:07:10.419Z","100","1297","1297"
"192.252.211.197","elite","AS46562","US","Performive LLC","133","Performive LLC","14921","socks4","1229","1","2023-04-07T22:07:09.995Z","97","1280","1322"
"104.129.205.123","elite","AS22616","US","ZSCALER, INC.","89","Zscaler, Inc.","10792","socks4","1272","1","2023-04-07T22:07:09.609Z","96","1258","1311"
"23.148.64.71","elite","AS393857","US","Premier Satellite","118","Premier Satellite llc","39593","socks4","1372","1","2023-04-07T22:07:09.979Z","99","1407","1417"
"70.185.95.177","elite","AS22773","US","Cox Communications Inc.","118","Cox Communications Inc.","39593","socks4","1403","1","2023-04-07T22:07:08.053Z","98","1311","1339"
"70.32.26.22","elite","AS55293","US","A2 Hosting, Inc.","95","A2 Hosting, Inc.","36546","socks5","1427","1","2023-04-07T22:07:08.845Z","100","1309","1311"
"76.26.114.253","elite","AS7922","US","Comcast Cable Communications, LLC","99","Comcast Cable Communications, LLC","39593","socks4","1392","1","2023-04-07T22:07:08.053Z","100","1409","1414"
"45.63.64.66","elite","AS20473","US","The Constant Company","94","Vultr Holdings, LLC","1080","socks4","1334","1","2023-04-07T22:07:08.823Z","18","243","1330"
"23.231.34.48","elite","AS62904","US","Eonix Corporation","112","Eonix Corporation","80","socks4","1287","1","2023-04-07T22:07:08.073Z","100","1371","1375"
"72.221.171.130","elite","AS22773","US","Cox Communications Inc.","152","Cox Communications","4145","socks5","1337","1","2023-04-07T22:07:07.637Z","88","1141","1301"
"38.83.108.88","elite","AS63199","US","Cogent Communications","112","CDS Global Cloud Co., Ltd","5678","socks4","1265","1","2023-04-07T22:07:06.746Z","100","1414","1415"
"50.96.204.4","elite","AS7029","US","Windstream Communications LLC","115","Windstream Communications LLC","18351","socks4","1241","2","2023-04-07T22:07:06.747Z","100","1374","1378"
"63.151.9.74","elite","AS209","US","CenturyLink Communications","135","CenturyLink, Inc","64312","socks4","1286","1","2023-04-07T22:07:06.348Z","100","1416","1417"
"203.24.109.230","elite","AS209242","US","Cloudflare London","1","Umpire Associates LTD","80","socks4","1382","1","2023-04-07T22:07:06.380Z","100","1404","1404"
"66.33.212.161","elite","AS26347","US","New Dream Network, LLC","78","New Dream Network, LLC","15891","socks4","1172","1","2023-04-07T22:07:05.624Z","100","1398","1399"
"173.219.112.85","anonymous","AS19108","US","Suddenlink Communications","158","unused","8080","http","1520","689","2023-04-07T22:07:03.551Z","100","1417","1417"
"70.60.230.7","elite","AS11426","US","Spectrum","114","Fastlink Communications Inc","32940","socks4","1504","1","2023-04-07T22:07:02.768Z","100","1357","1361"
"23.106.47.15","anonymous","AS7203","US","Leaseweb USA, Inc.","140","Leaseweb USA, Inc","3128","http","1247","3410","2023-04-07T22:07:02.796Z","61","790","1301"
"157.245.134.203","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","12851","socks4","1222","1","2023-04-07T22:07:02.486Z","76","1006","1318"
"173.244.200.159","elite","AS32780","US","Hosting Services, Inc.","73","Hosting Services, Inc.","29407","socks5","1510","1","2023-04-07T22:07:02.465Z","100","1355","1355"
"192.119.203.124","elite","AS30036","US","Mediacom Communications","179","Communication Construction Services","48678","socks4","1493","1","2023-04-07T22:07:02.768Z","99","1316","1326"
"174.138.176.78","elite","AS19318","US","Interserver, Inc","73","Interserver, Inc","58723","socks4","1478","1","2023-04-07T22:07:00.059Z","100","1333","1336"
"75.111.123.167","elite","AS19108","US","Suddenlink Communications","251","Suddenlink Communications","1888","socks5","1259","1","2023-04-07T22:07:00.871Z","9","716","7964"
"45.196.150.46","elite","AS7018","US","AT&T Services, Inc.","81","Kaxy Tech LLC","5432","socks4","1353","1","2023-04-07T22:06:59.143Z","98","1334","1356"
"192.3.127.220","elite","AS36352","US","ColoCrossing","140","RackNerd LLC","45776","socks5","1385","1","2023-04-07T22:06:59.146Z","45","627","1394"
"75.66.192.137","elite","AS7922","US","Comcast Cable Communications","128","Comcast Cable Communications Holdings, Inc","27977","socks5","1444","1","2023-04-07T22:06:59.093Z","99","1321","1331"
"137.184.42.134","elite","AS14061","US","DigitalOcean, LLC","149","DigitalOcean, LLC","12544","socks4","1533","1","2023-04-07T22:06:57.038Z","98","1331","1352"
"45.15.170.94","elite","AS35913","US","DediPath","140","DediPath","32768","socks4","1538","1","2023-04-07T22:06:57.917Z","95","1267","1328"
"172.67.25.204","elite","AS13335","US","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","1236","1","2023-04-07T22:06:57.069Z","100","1337","1339"
"173.195.27.153","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","1515","1","2023-04-07T22:06:54.964Z","100","1399","1400"
"8.42.68.197","elite","AS399869","US","Mountain Broadband","114","Level 3, LLC","39593","socks4","1293","1","2023-04-07T22:06:53.168Z","100","1413","1417"
"38.127.173.249","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","55994","socks5","1512","1","2023-04-07T22:06:52.442Z","100","1328","1328"
"199.188.89.136","elite","AS64200","US","Vivid-hosting LLC","139","Vivid-hosting LLC","9000","socks4","1487","1","2023-04-07T22:06:52.845Z","100","1382","1385"
"142.93.113.81","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","7497","socks5","1295","1","2023-04-07T22:06:51.025Z","100","1412","1415"
"103.83.36.1","elite","AS136171","US","Medha Hosting","127","Medhahosting in","5678","socks4","1236","1","2023-04-07T22:06:51.021Z","100","1411","1412"
"50.47.75.221","elite","AS20055","US","Wholesail networks LLC","148","Ziply Fiber","5678","socks4","1281","1","2023-04-07T22:06:50.156Z","94","1331","1416"
"173.236.179.25","elite","AS26347","US","New Dream Network, LLC","78","New Dream Network, LLC","59540","socks5","1310","1","2023-04-07T22:06:50.156Z","100","1374","1376"
"38.127.179.249","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","1250","1","2023-04-07T22:06:50.627Z","100","1357","1358"
"98.206.244.30","elite","AS7922","US","Comcast Cable Communications, LLC","107","Comcast Cable Communications, Inc.","18301","socks4","1422","1","2023-04-07T22:06:49.433Z","100","1413","1414"
"70.63.165.22","elite","AS11426","US","Spectrum","101","Road Runner Commercial","32940","socks4","1380","1","2023-04-07T22:06:49.810Z","100","1403","1405"
"38.127.173.141","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks5","1332","1","2023-04-07T22:06:48.562Z","100","1346","1348"
"162.255.108.225","elite","AS54755","US","Desert Winds Wireless","151","Desert Winds Wireless Inc","5678","socks4","1523","1","2023-04-07T22:06:48.095Z","100","1411","1416"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","1469","1","2023-04-07T22:06:47.338Z","100","1392","1393"
"64.90.50.79","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","64862","socks5","1561","1","2023-04-07T22:06:46.921Z","100","1412","1412"
"143.95.103.43","elite","AS46606","US","Unified Layer","136","Athenix Inc","60088","socks4","1541","1","2023-04-07T22:06:46.027Z","78","1092","1404"
"174.127.155.118","elite","AS11404","US","Wave Broadband","151","Wave Broadband","32505","socks4","1425","1","2023-04-07T22:06:43.282Z","100","1394","1401"
"45.196.148.117","elite","AS7018","US","AT&T Services","89","AQUA Networks Limited","5432","socks4","1439","1","2023-04-07T22:06:43.698Z","98","1288","1315"
"38.127.179.124","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","15290","socks4","1355","1","2023-04-07T22:06:43.703Z","100","1335","1336"
"23.94.47.24","elite","AS36352","US","ColoCrossing","98","RackNerd LLC","32129","socks4","1420","1","2023-04-07T22:06:43.277Z","97","1254","1296"
"82.206.131.58","elite","AS22351","US","Intelsat Global Service Corporation","583","Intelsat Global Sales & Marketing LTD","10801","socks4","1215","1","2023-04-07T22:06:42.406Z","94","1239","1314"
"75.119.203.32","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","52186","socks5","1423","2","2023-04-07T22:06:41.117Z","100","1399","1399"
"159.223.117.14","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","24006","socks5","1305","1","2023-04-07T22:06:41.623Z","96","1284","1334"
"38.83.108.89","elite","AS63199","US","Cogent Communications","111","CDS Global Cloud Co., Ltd","5678","socks4","1336","1","2023-04-07T22:06:41.984Z","100","1412","1415"
"157.245.140.55","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","35965","socks5","1346","1","2023-04-07T22:06:40.723Z","100","1369","1370"
"107.161.50.42","elite","AS395092","US","Shock Hosting LLC","75","Shock Hosting LLC","6401","socks4","1400","3","2023-04-07T22:06:40.337Z","100","1415","1417"
"38.127.173.9","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks5","1352","1","2023-04-07T22:06:40.339Z","100","1348","1351"
"174.108.154.129","elite","AS11426","US","Spectrum","113","Fastlink Communications","32940","socks4","1259","1","2023-04-07T22:06:39.144Z","100","1313","1315"
"216.218.240.46","elite","AS6939","US","Hurricane Electric LLC","134","Calcom","48324","socks4","1261","1","2023-04-07T22:06:39.541Z","99","1403","1415"
