ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"152.67.111.56","elite","AS31898","AU","Oracle Corporation","311","Oracle Cloud Infrastructure (ap-sydney-1)","9050","socks4","775","1","2023-03-23T22:09:11.678Z","83","1056","1274"
"103.3.77.204","elite","AS9341","ID","PT.Indonesia Comnets Plus","203","N/A","5678","socks4","253","1","2023-03-23T22:09:11.551Z","98","1205","1234"
"190.109.72.10","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","187","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","983","1","2023-03-23T22:09:11.527Z","99","1265","1272"
"59.98.148.27","elite","AS9829","IN","BSNL Internet","227","NIB","5678","socks4","519","1","2023-03-23T22:09:10.378Z","96","1259","1312"
"160.226.132.33","anonymous","AS328178","ZA","The Computer Hut","207","N/A","8080","http","850","510","2023-03-23T22:09:10.128Z","72","862","1195"
"94.182.190.241","elite","AS31549","IR","SHATEL Network","95","Aria Shatel Company Ltd","1080","socks5","477","1","2023-03-23T22:09:10.685Z","59","716","1210"
"172.64.80.55","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","511","1","2023-03-23T22:09:10.135Z","100","1196","1196"
"148.251.1.210","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner","30169","socks4","635","1","2023-03-23T22:09:10.049Z","100","1246","1246"
"51.254.32.245","elite","AS16276","FR","OVH SAS","7","OVH","3128","http","446","553","2023-03-23T22:09:10.914Z","100","1211","1211"
"103.113.3.236","elite","AS137342","ID","Diskominfo Tangerang Selatan","214","N/A","4145","socks4","72","1","2023-03-23T22:09:10.044Z","96","1166","1217"
"177.139.130.157","elite","AS27699","BR","Vivo","209","TELEF�NICA BRASIL S.A","4153","socks4","471","1","2023-03-23T22:09:10.374Z","38","495","1309"
"36.89.80.226","elite","AS7713","ID","PT. Telekomunikasi Indonesia","202","Telekomunikasi Indonesia","5678","socks4","576","1","2023-03-23T22:09:10.051Z","94","1115","1190"
"45.249.48.201","elite","AS45582","IN","E Net Entertainment Pvt Ltd","175","E Net Entertainment Pvt Ltd","4153","socks4","587","1","2023-03-23T22:09:10.133Z","100","1306","1311"
"181.189.254.50","anonymous","AS27696","HN","Columbus Networks de Honduras S. de R.L.","130","Columbus Networks de Honduras S. de R.L","999","http","435","5159","2023-03-23T22:09:10.380Z","99","1244","1259"
"117.195.80.163","elite","AS9829","IN","BSNL Internet","261","N/A","5678","socks4","395","1","2023-03-23T22:09:10.379Z","20","251","1271"
"181.230.24.15","elite","AS7303","AR","Telecom Argentina S.A.","273","Telecom Argentina S.A","4153","socks4","555","1","2023-03-23T22:09:10.051Z","98","1283","1311"
"182.253.181.10","elite","AS17451","ID","BIZNET","191","N/A","8080","socks5","121","1","2023-03-23T22:09:10.044Z","83","989","1195"
"93.91.201.70","elite","AS21277","IQ","Newroz Telecom","78","Kurdistan University in Erbil","5678","socks4","200","1","2023-03-23T22:09:10.042Z","86","1062","1235"
"58.35.206.18","elite","AS4812","CN","China Telecom (Group)","224","Chinanet SH","4145","socks4","812","1","2023-03-23T22:09:09.279Z","59","716","1217"
"103.114.35.31","elite","AS137360","ID","Universitas Muhammadiyah Surabaya","179","Universitas Muhammadiyah Surabaya","3629","socks4","874","1","2023-03-23T22:09:09.522Z","99","1303","1310"
"92.119.183.249","elite","AS20454","US","Secured Servers LLC","138","Braveway LLC","13433","socks5","507","1","2023-03-23T22:09:09.936Z","100","1261","1265"
"149.20.253.81","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","751","1","2023-03-23T22:09:09.930Z","100","1273","1274"
"197.234.13.39","elite","AS36902","SC","Intelvision","178","Intelvision Ltd","4145","socks4","859","1","2023-03-23T22:09:09.523Z","100","1268","1271"
"197.234.13.63","elite","AS36902","SC","Intelvision","177","Intelvision Ltd","4145","socks4","402","1","2023-03-23T22:09:09.918Z","100","1192","1195"
"181.117.128.38","elite","AS11664","AR","Techtel LMDS Comunicaciones Interactivas S.A.","256","AMX Argentina S.A","5678","socks4","375","1","2023-03-23T22:09:09.919Z","100","1284","1284"
"212.83.142.149","elite","AS12876","FR","Online S.A.S.","1","ONLINE","52542","socks5","933","1","2023-03-23T22:09:09.666Z","100","1287","1289"
"113.11.138.22","elite","AS9326","ID","CENTRIN","204","N/A","5678","socks4","389","1","2023-03-23T22:09:09.918Z","99","1276","1287"
"103.47.93.201","elite","AS134058","IN","Broban Internet Services Pvt.ltd","228","Broban  PVT Ltd.","1080","socks4","873","1","2023-03-23T22:09:09.667Z","99","1304","1311"
"125.209.114.38","elite","AS9260","PK","Multinet 125-114/24","149","Multinet Broadband","5678","socks4","904","1","2023-03-23T22:09:09.521Z","94","1139","1216"
"5.9.170.2","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner","30000","socks4","849","1","2023-03-23T22:09:09.289Z","100","1227","1228"
"104.19.109.209","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","971","1","2023-03-23T22:09:09.681Z","100","1231","1231"
"36.93.16.226","elite","AS7713","ID","Telekomunikasi Indonesia","205","HSI Indihome","4145","socks4","886","1","2023-03-23T22:09:09.522Z","92","1201","1311"
"186.194.234.18","elite","AS53143","BR","Cabonnet Internet Ltda","244","Cabonnet Internet Ltda","4153","socks4","748","4","2023-03-23T22:09:09.528Z","99","1280","1287"
"113.11.131.146","elite","AS9326","ID","CENTRIN","162","N/A","5678","socks4","574","1","2023-03-23T22:09:09.917Z","99","1296","1308"
"8.39.228.21","elite","AS3356","US","Level 3 Communications, Inc.","123","Level 3, LLC","39593","socks4","830","1","2023-03-23T22:09:09.523Z","100","1273","1273"
"41.33.86.242","anonymous","AS8452","EG","TE Data","303","N/A","8080","http","705","1048","2023-03-23T22:09:09.915Z","89","1073","1212"
"195.225.48.177","elite","AS51357","UA","Kishchenko N.M. PE","41","Kishchenko N.M. PE","55774","socks4","909","1","2023-03-23T22:09:09.667Z","96","1156","1199"
"79.132.221.208","elite","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","142","Fanaptelecom Network","5678","socks4","947","1","2023-03-23T22:09:09.772Z","96","1264","1312"
"180.178.188.126","elite","AS136969","PK","KK Networks (Pvt.) Limited","160","SHARP TELECOM (PRIVATE) LIMITED","8080","http","780","543","2023-03-23T22:09:09.280Z","97","1158","1193"
"101.75.92.236","elite","AS4837","CN","China Unicom Hebei Province Network","173","N/A","8060","socks4","637","1","2023-03-23T22:09:09.916Z","49","618","1249"
"76.178.161.35","elite","AS10838","US","Charter Communications","157","Spectrum","39593","socks4","818","1","2023-03-23T22:09:09.524Z","100","1290","1291"
"23.225.14.198","elite","AS40065","US","Cnservers LLC","142","CloudRadium L.L.C","59774","socks5","548","1","2023-03-23T22:09:08.001Z","93","1208","1297"
"49.156.34.190","elite","AS24492","KH","WiCAM Corporation Ltd.","196","WiCAM Corporation Ltd.","5678","socks4","560","1","2023-03-23T22:09:08.075Z","98","1230","1259"
"159.65.246.59","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","8290","socks4","791","1","2023-03-23T22:09:08.599Z","97","1218","1250"
"177.131.29.212","elite","AS262378","BR","Compuservice Empreendimentos Ltda","217","Compuservice Empreendimentos Ltda","4153","socks4","812","1","2023-03-23T22:09:08.386Z","99","1281","1294"
"185.200.38.236","elite","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","63","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti","10820","socks5","242","1","2023-03-23T22:09:08.029Z","99","1297","1311"
"46.231.72.35","elite","AS34093","CZ","NWT","32","N/A","5678","socks4","785","1","2023-03-23T22:09:08.387Z","97","1224","1260"
"95.79.99.159","elite","AS42682","RU","JSC \"ER-Telecom Holding\"","50","JSC \"ER-Telecom Holding\" Nizhny Novgorod","44068","socks4","212","1","2023-03-23T22:09:08.001Z","100","1207","1207"
"109.202.24.25","elite","AS25549","RU","JSC Avantel. Novosibirsk network","98","JSC Avantel. Novosibirsk metropolitan network.","83","socks4","920","1","2023-03-23T22:09:08.027Z","99","1232","1249"
"119.46.2.250","elite","AS7470","TH","True Internet Corporation CO. Ltd.","186","True Internet Co., Ltd.","4145","socks4","883","1","2023-03-23T22:09:08.073Z","100","1308","1312"
"45.127.222.94","elite","AS45433","IN","Champion Computers","181","Kappa  Private Limited","5678","socks4","618","1","2023-03-23T22:09:08.030Z","89","1090","1231"
"192.99.13.83","elite","AS16276","CA","OVH SAS","89","OVH Hosting, Inc.","45250","socks5","415","1","2023-03-23T22:09:08.028Z","100","1245","1249"
"51.83.116.6","elite","AS16276","FR","OVH SAS","5","OVH","33894","socks5","815","1","2023-03-23T22:09:08.598Z","100","1292","1292"
"178.62.229.24","elite","AS14061","NL","DigitalOcean, LLC","17","Digital Ocean","45603","socks5","166","1","2023-03-23T22:09:08.000Z","100","1312","1312"
"180.183.69.89","elite","AS45629","TH","Triple T Broadband Public Company Limited","180","Triple T Broadband Public Company Limited","8080","socks5","802","1","2023-03-23T22:09:08.598Z","98","1183","1205"
"117.102.115.156","elite","AS17451","ID","BIZNET","182","N/A","4153","socks4","849","1","2023-03-23T22:09:08.074Z","99","1294","1310"
"117.202.20.67","elite","AS9829","IN","BSNL Internet","152","NIB","1088","socks4","827","1","2023-03-23T22:09:08.386Z","98","1276","1307"
